volume,open,high,low,close,caldt
111804895,375.31,375.45,364.82,368.97,2021-01-04 00:00:00-05:00
67456696,368.1,372.5,368.05,371.4,2021-01-05 00:00:00-05:00
109080743,369.71,376.98,369.12,373.41,2021-01-06 00:00:00-05:00
70220837,376.1,379.9,375.91,379.13,2021-01-07 00:00:00-05:00
74338260,380.59,381.49,377.1,381.29,2021-01-08 00:00:00-05:00
52148184,377.85,380.58,377.7189,378.7,2021-01-11 00:00:00-05:00
53546073,378.89,379.86,376.36,378.66,2021-01-12 00:00:00-05:00
46290159,378.69,380.86,377.85,379.7,2021-01-13 00:00:00-05:00
50821683,380.59,381.13,378.1,378.58,2021-01-14 00:00:00-05:00
109520809,376.72,377.58,373.7,375.67,2021-01-15 00:00:00-05:00
52504155,378.34,379.23,376.75,378.64,2021-01-19 00:00:00-05:00
63340450,381.11,384.79,380.69,383.8,2021-01-20 00:00:00-05:00
48716569,384.49,384.95,383.25,384.15,2021-01-21 00:00:00-05:00
53194026,382.25,384.1256,381.835,382.82,2021-01-22 00:00:00-05:00
72021578,383.67,384.77,378.46,384.54,2021-01-25 00:00:00-05:00
44161134,385.41,385.85,383.54,383.75,2021-01-26 00:00:00-05:00
126043890,380.22,380.32,372.01,374.65,2021-01-27 00:00:00-05:00
96130471,376.36,381.93,375.89,377.52,2021-01-28 00:00:00-05:00
129983765,375.63,376.67,368.27,370.14,2021-01-29 00:00:00-05:00
77707586,373.72,377.34,370.376,376.02,2021-02-01 00:00:00-05:00
66494770,379.65,383.22,376.3181,381.25,2021-02-02 00:00:00-05:00
53344886,382.435,383.7,380.48,381.84,2021-02-03 00:00:00-05:00
48544535,382.96,386.24,381.9655,386.11,2021-02-04 00:00:00-05:00
49890523,388.2,388.47,386.1444,387.63,2021-02-05 00:00:00-05:00
39380252,389.27,390.56,388.35,390.52,2021-02-08 00:00:00-05:00
36248491,389.61,390.89,389.17,390.31,2021-02-09 00:00:00-05:00
59678427,392.12,392.28,387.5,390.17,2021-02-10 00:00:00-05:00
43822781,391.24,391.69,388.1,390.71,2021-02-11 00:00:00-05:00
51799016,389.85,392.9,389.77,392.73,2021-02-12 00:00:00-05:00
52716093,393.96,394.17,391.53,392.38,2021-02-16 00:00:00-05:00
54297756,390.42,392.66,389.33,392.45,2021-02-17 00:00:00-05:00
60770152,389.59,391.515,387.74,390.82,2021-02-18 00:00:00-05:00
84807821,392.07,392.38,389.55,390.05,2021-02-19 00:00:00-05:00
69771116,387.06,389.62,386.74,387.08,2021-02-22 00:00:00-05:00
108002754,384.66,388.945,380.2,387.52,2021-02-23 00:00:00-05:00
73663829,386.33,392.23,385.27,391.84,2021-02-24 00:00:00-05:00
148679383,390.41,391.88,380.7789,382.37,2021-02-25 00:00:00-05:00
